id,fonte,codigo,nome,municipio,rio,bacia,lat,lon,tipo,automatica,cota_atencao_cm,cota_alerta_cm,cota_inundacao_cm,nivel_cm,vazao_m3s,chuva_1h,chuva_24h,chuva_72h,medido_em,situacao,cor,observacao,url_origem,atualizado_em
ANA_74670000,ANA telemetria,74670000,Cgh Bela União Barramento,Santa Rosa,Rio Santa Rosa,Não catalogada (ANA),-27.7811,-54.3736,FLUVIOMETRICA,1,,,,121.44,,,,,2026-08-24 15:59:00,Sem cota de referência publicada,gray,,https://telemetriaws1.ana.gov.br/ServiceANA.asmx/DadosHidrometeorologicos?codEstacao=74670000&dataInicio=&dataFim=,2026-08-24 19:45:51
ANA_70740000,ANA telemetria,70740000,Cgh Bruna Jusante,Esmeralda,Rio Do Frade,Não catalogada (ANA),-28.02,-51.0203,FLUVIOMETRICA,1,,,,73.43,12.0,0.0,0.0,0.0,2026-08-24 15:50:00,Sem cota de referência publicada,gray,,https://telemetriaws1.ana.gov.br/ServiceANA.asmx/DadosHidrometeorologicos?codEstacao=70740000&dataInicio=&dataFim=,2026-08-24 19:45:51
ANA_86060010,ANA telemetria,86060010,Cgh Cambará Barramento,Cambará Do Sul,Arroio Arcada,Não catalogada (ANA),-28.9489,-50.0556,FLUVIOMETRICA,1,,,,1432.0,,0.0,0.0,0.0,2026-08-24 14:00:00,Sem cota de referência publicada,gray,,https://telemetriaws1.ana.gov.br/ServiceANA.asmx/DadosHidrometeorologicos?codEstacao=86060010&dataInicio=&dataFim=,2026-08-24 19:45:51
ANA_74359000,ANA telemetria,74359000,Cgh Carlos Bevilácqua Barramento,Seberi,Arroio Fortaleza,Não catalogada (ANA),-27.6028,-53.3917,FLUVIOMETRICA,1,,,,,,0.0,0.0,0.0,2026-08-24 15:00:00,Sem cota de referência publicada,gray,"nivel_cm=46534 fora da faixa [0, 5000]",https://telemetriaws1.ana.gov.br/ServiceANA.asmx/DadosHidrometeorologicos?codEstacao=74359000&dataInicio=&dataFim=,2026-08-24 19:45:51
ANA_85500990,ANA telemetria,85500990,Cgh Colorado Barramento,Tapera,Rio Colorado,Não catalogada (ANA),-28.6294,-52.9356,FLUVIOMETRICA,1,,,,383.75,,,,,2026-08-24 16:00:00,Sem cota de referência publicada,gray,,https://telemetriaws1.ana.gov.br/ServiceANA.asmx/DadosHidrometeorologicos?codEstacao=85500990&dataInicio=&dataFim=,2026-08-24 19:45:51
ANA_85500100,ANA telemetria,85500100,Cgh Colorado Montante,Lagoa Dos Tres Cantos,Rio Colorado,Não catalogada (ANA),-28.5794,-52.92,PLUVIOMETRICA,1,,,,,,,,,,Sem transmissão recente,gray,,https://telemetriaws1.ana.gov.br/ServiceANA.asmx/DadosHidrometeorologicos?codEstacao=85500100&dataInicio=&dataFim=,2026-08-24 19:45:51
ANA_02854039,ANA telemetria,02854039,Cgh Coopermil Jusante,Guarani Das Missões,,Não catalogada (ANA),-28.1389,-54.5464,PLUVIOMETRICA,1,,,,,,,,,,Sem transmissão recente,gray,,https://telemetriaws1.ana.gov.br/ServiceANA.asmx/DadosHidrometeorologicos?codEstacao=02854039&dataInicio=&dataFim=,2026-08-24 19:45:51
ANA_02753058,ANA telemetria,02753058,Cgh Linha Granja Velha Barramento,Taquaruçu Do Sul,,Não catalogada (ANA),-27.4267,-53.54,PLUVIOMETRICA,1,,,,,,,,,,Sem transmissão recente,gray,,https://telemetriaws1.ana.gov.br/ServiceANA.asmx/DadosHidrometeorologicos?codEstacao=02753058&dataInicio=&dataFim=,2026-08-24 19:45:51
ANA_74120750,ANA telemetria,74120750,Cgh Mata Cobra Montante 1,Carazinho,Rio Da Várzea,Não catalogada (ANA),-28.2653,-52.8969,FLUVIOMETRICA,1,,,,572.13,70.1,0.0,0.0,0.4,2026-08-24 16:00:00,Sem cota de referência publicada,gray,,https://telemetriaws1.ana.gov.br/ServiceANA.asmx/DadosHidrometeorologicos?codEstacao=74120750&dataInicio=&dataFim=,2026-08-24 19:45:51
ANA_87153000,ANA telemetria,87153000,Cgh Santo Anjo Jusante,Caxias Do Sul,Arroio Piai,Não catalogada (ANA),-29.205,-51.09,PLUVIOMETRICA,1,,,,,,,,,,Sem transmissão recente,gray,,https://telemetriaws1.ana.gov.br/ServiceANA.asmx/DadosHidrometeorologicos?codEstacao=87153000&dataInicio=&dataFim=,2026-08-24 19:45:51
